TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1743364610;3/30/2025 7:56:50 PM;16.36;21.1;78.2;1007.6;2.88;164;0;
1743364672;3/30/2025 7:57:52 PM;16.5;21.2;77.98;1007.5;5.76;196;0;
1743364735;3/30/2025 7:58:55 PM;16.52;20.8;75.88;1007.7;13.32;194;0;
1743364798;3/30/2025 7:59:58 PM;16.4;20.7;77.31;1007.5;14.76;178;0;
1743364860;3/30/2025 8:01:00 PM;16.41;20.9;78.14;1007.5;7.2;289;0;
1743364922;3/30/2025 8:02:02 PM;16.52;21.1;77.48;1007.6;10.08;198;0;
1743364986;3/30/2025 8:03:06 PM;16.39;21.2;76.93;1007.6;20.16;164;0;
1743365048;3/30/2025 8:04:08 PM;16.26;21.4;76.94;1007.6;14.4;181;0;
1743365111;3/30/2025 8:05:11 PM;16.18;21.6;77.8;1007.6;6.12;242;0;
1743365174;3/30/2025 8:06:14 PM;16.27;21.7;78.05;1007.5;5.76;321;0;
1743365236;3/30/2025 8:07:16 PM;16.35;21.6;77.44;1007.5;13.32;228;0;
1743365299;3/30/2025 8:08:19 PM;16.36;21.5;76.85;1007.7;8.28;225;0;
1743365362;3/30/2025 8:09:22 PM;16.34;21.5;77.61;1007.6;7.92;233;0;
1743365424;3/30/2025 8:10:24 PM;16.31;21.1;77.07;1007.6;12.96;198;0;
1743365487;3/30/2025 8:11:27 PM;16.26;21.1;77.62;1007.8;7.92;208;0;
1743365550;3/30/2025 8:12:30 PM;16.21;21;76.85;1007.6;6.84;233;0;
1743365613;3/30/2025 8:13:33 PM;16.17;20.8;76.78;1007.7;12.24;225;0;
1743365675;3/30/2025 8:14:35 PM;16.2;20.6;76.68;1007.6;10.08;238;0;
1743365738;3/30/2025 8:15:38 PM;16.2;21.1;77.77;1007.8;11.52;200;0;
1743365801;3/30/2025 8:16:41 PM;16.22;21.5;76.93;1007.8;5.04;47;0;
1743365863;3/30/2025 8:17:43 PM;16.3;21.9;77.34;1007.4;8.64;283;0;
1743365926;3/30/2025 8:18:46 PM;16.5;22.6;76.92;1007.5;5.4;225;0;
1743365989;3/30/2025 8:19:49 PM;16.56;22.4;74.39;1007.3;11.16;280;0;
1743366051;3/30/2025 8:20:51 PM;16.49;22.4;74.16;1007.4;7.92;284;0;
1743366114;3/30/2025 8:21:54 PM;16.43;22.2;74.59;1007.7;6.84;280;0;
1743366177;3/30/2025 8:22:57 PM;16.33;21.7;74.84;1007.6;8.28;257;0;
1743366239;3/30/2025 8:23:59 PM;16.17;21.5;75.96;1007.7;7.92;208;0;
1743366302;3/30/2025 8:25:02 PM;16.07;21.2;75.94;1007.8;9;212;0;
1743366363;3/30/2025 8:26:03 PM;15.99;21.1;75.54;1007.7;11.52;268;0;
1743366427;3/30/2025 8:27:07 PM;15.97;21.1;76.39;1007.7;12.6;211;0;
1743366490;3/30/2025 8:28:10 PM;15.96;21.2;77.45;1007.7;5.4;325;0;
1743366553;3/30/2025 8:29:13 PM;15.98;21.1;76.43;1007.4;7.2;334;0;
1743366616;3/30/2025 8:30:16 PM;16.03;20.8;77.07;1007.8;10.8;180;0;
1743366678;3/30/2025 8:31:18 PM;16.01;20.9;77.57;1007.9;6.48;308;0;
1743366741;3/30/2025 8:32:21 PM;16.04;21;77.28;1007.9;5.4;231;0;
1743366804;3/30/2025 8:33:24 PM;16.09;20.9;77.7;1008.1;5.4;26;0;
1743366866;3/30/2025 8:34:26 PM;16.07;20.7;77.54;1007.8;7.56;287;0;
1743366929;3/30/2025 8:35:29 PM;16.04;20.7;78.15;1008;3.6;338;0;
1743366992;3/30/2025 8:36:32 PM;16.03;-999;78.02;1007.9;9;216;0;
1743367054;3/30/2025 8:37:34 PM;15.96;20.4;76.6;1007.7;18;199;0;
1743367117;3/30/2025 8:38:37 PM;15.87;20.7;77.36;1008;6.12;214;0;
1743367180;3/30/2025 8:39:40 PM;15.89;20.7;77.31;1007.8;10.08;234;0;
1743367242;3/30/2025 8:40:42 PM;15.93;20.7;78.11;1007.8;5.76;218;0;
